"filename", "language", "Perl", "HTML", "Markdown", "YAML", "JavaScript", "JSON", "Dart", "C++", "Swift", "Ruby", "XML", "Java Properties", "comment", "blank", "total"
"c:\Flutter Projects\nascon\nascon\lib\screens\search\_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Flutter Projects\nascon\nascon\lib\screens\search\search.dart", "Dart", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Flutter Projects\nascon\nascon\lib\screens\search\widgets\_body.dart", "Dart", 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 6, 86
"c:\Flutter Projects\nascon\nascon\lib\screens\setting_one\_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Flutter Projects\nascon\nascon\lib\screens\setting_one\setting_one.dart", "Dart", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Flutter Projects\nascon\nascon\lib\screens\setting_one\widgets\_body.dart", "Dart", 0, 0, 0, 0, 0, 0, 164, 0, 0, 0, 0, 0, 0, 7, 171
"c:\Flutter Projects\nascon\nascon\lib\screens\setting_two\_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Flutter Projects\nascon\nascon\lib\screens\setting_two\setting_two.dart", "Dart", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Flutter Projects\nascon\nascon\lib\screens\setting_two\widgets\_body.dart", "Dart", 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 1, 3, 83
"c:\Flutter Projects\nascon\nascon\lib\screens\settings\_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Flutter Projects\nascon\nascon\lib\screens\settings\settings.dart", "Dart", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Flutter Projects\nascon\nascon\lib\screens\settings\widgets\_body.dart", "Dart", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Flutter Projects\nascon\nascon\lib\screens\task\_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Flutter Projects\nascon\nascon\lib\screens\task\task.dart", "Dart", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Flutter Projects\nascon\nascon\lib\screens\task\widgets\_body.dart", "Dart", 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 1, 9, 106
"c:\Flutter Projects\nascon\nascon\lib\screens\task\widgets\_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 3, 22
"c:\Flutter Projects\nascon\nascon\lib\static\static.dart", "Dart", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 1, 6
"c:\Flutter Projects\nascon\nascon\lib\utils\datetime.dart", "Dart", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Flutter Projects\nascon\nascon\lib\widgets\core\app_appbar.dart", "Dart", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 4, 44
"c:\Flutter Projects\nascon\nascon\lib\widgets\core\app_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 4, 33
"c:\Flutter Projects\nascon\nascon\lib\widgets\core\app_icon_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 3, 37
"c:\Flutter Projects\nascon\nascon\lib\widgets\core\app_textfield.dart", "Dart", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 3, 6, 57
"c:\Flutter Projects\nascon\nascon\lib\widgets\core\bottom_navigation_bar.dart", "Dart", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 7, 55
"c:\Flutter Projects\nascon\nascon\lib\widgets\modal_sheet.dart", "Dart", 0, 0, 0, 0, 0, 0, 258, 0, 0, 0, 0, 0, 2, 11, 271
"c:\Flutter Projects\nascon\nascon\lib\widgets\scroll_tile.dart", "Dart", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 4, 42
"c:\Flutter Projects\nascon\nascon\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 4, 5, 16
"c:\Flutter Projects\nascon\nascon\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5, 6, 16
"c:\Flutter Projects\nascon\nascon\linux\runner\main.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"c:\Flutter Projects\nascon\nascon\linux\runner\my_application.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 21, 27, 131
"c:\Flutter Projects\nascon\nascon\linux\runner\my_application.h", "C++", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 7, 5, 19
"c:\Flutter Projects\nascon\nascon\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 3, 4, 27
"c:\Flutter Projects\nascon\nascon\macos\Podfile", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 1, 10, 43
"c:\Flutter Projects\nascon\nascon\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 4, 13
"c:\Flutter Projects\nascon\nascon\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"c:\Flutter Projects\nascon\nascon\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Flutter Projects\nascon\nascon\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 1, 344
"c:\Flutter Projects\nascon\nascon\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"c:\Flutter Projects\nascon\nascon\pubspec.yaml", "YAML", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 59, 13, 102
"c:\Flutter Projects\nascon\nascon\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Flutter Projects\nascon\nascon\web\index.html", "HTML", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 5, 39
"c:\Flutter Projects\nascon\nascon\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Flutter Projects\nascon\nascon\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 4, 5, 24
"c:\Flutter Projects\nascon\nascon\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5, 6, 16
"c:\Flutter Projects\nascon\nascon\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 7, 16, 72
"c:\Flutter Projects\nascon\nascon\windows\runner\flutter_window.h", "C++", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 5, 9, 34
"c:\Flutter Projects\nascon\nascon\windows\runner\main.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 4, 10, 44
"c:\Flutter Projects\nascon\nascon\windows\runner\resource.h", "C++", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 6, 2, 17
"c:\Flutter Projects\nascon\nascon\windows\runner\utils.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 2, 10, 66
"c:\Flutter Projects\nascon\nascon\windows\runner\utils.h", "C++", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 6, 6, 20
"c:\Flutter Projects\nascon\nascon\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 210, 0, 0, 0, 0, 24, 55, 289
"c:\Flutter Projects\nascon\nascon\windows\runner\win32_window.h", "C++", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 48, 118, 13, 33, 46, 278, 3025, 556, 69, 64, 470, 8, 501, 724, 5953
